file,dontrun_n,donttest_n,examples_block
morie_cpads_validate_frame.Rd,1,0,1
morie_cramers_v.Rd,0,0,1
morie_crypto_hkdf_sha256.Rd,0,0,0
morie_crypto_hybrid_decrypt.Rd,0,0,0
morie_crypto_hybrid_encrypt.Rd,0,0,0
morie_crypto_hybrid_keygen.Rd,0,0,0
morie_crypto_keystore_create.Rd,0,0,0
morie_crypto_keystore_list.Rd,0,0,0
morie_crypto_keystore_load.Rd,0,0,0
morie_crypto_keystore_store.Rd,0,0,0
morie_dataset_catalog.Rd,0,0,1
morie_dataset_column_profile.Rd,0,0,0
morie_dataset_detect_role.Rd,0,0,0
morie_dataset_infer_level.Rd,0,0,0
morie_dataset_info.Rd,0,0,1
morie_dataset_load.Rd,0,0,0
morie_dataset_profile.Rd,0,0,0
morie_dataset_profile_summary_table.Rd,0,0,0
morie_dataset_profile_to_list.Rd,0,0,0
morie_dataset_suggest_plan.Rd,0,0,0
morie_dataset_summarize_column.Rd,0,0,0
morie_datasets_bigquery.Rd,0,0,0
morie_datasets_chicago_crime.Rd,0,0,0
morie_datasets_ckan_package.Rd,0,0,0
morie_datasets_ckan_search.Rd,0,0,0
morie_datasets_cpads.Rd,0,0,0
morie_datasets_namus_missing_persons.Rd,0,0,0
morie_datasets_nibrs.Rd,0,0,0
morie_datasets_nist_rds.Rd,0,0,0
morie_datasets_nyc_stop_and_frisk.Rd,0,0,0
morie_datasets_otis_a01.Rd,0,0,0
morie_datasets_siu_director_reports.Rd,0,0,0
morie_datasets_siu_report_fields.Rd,0,0,0
morie_datasets_siu_report_text.Rd,0,0,0
morie_datasets_tps_homicide.Rd,0,0,0
morie_datasets_tps_layers.Rd,0,0,0
morie_datasets_tps_major_crime.Rd,0,0,0
morie_datasets_tps_shootings.Rd,0,0,0
morie_db_connect.Rd,0,1,1
morie_dbscan_clustering.Rd,0,0,1
morie_dcc_multivariate_garch.Rd,0,0,1
morie_decision_tree_split.Rd,0,0,1
morie_deep_learning_genomic.Rd,0,0,1
morie_default_synthetic_name_map.Rd,0,0,1
morie_default_workflow_map.Rd,0,0,1
morie_describe.Rd,1,0,1
morie_describe_by_name.Rd,1,0,1
morie_design_effect.Rd,0,0,1
morie_det_rng.Rd,0,0,1
morie_det_rng_sha_hex.Rd,0,0,1
morie_did_2x2.Rd,1,0,1
morie_did_aggregate_gt_att.Rd,0,0,0
morie_did_bacon_decomposition.Rd,0,0,0
morie_did_chaisemartin_dhaultfoeuille.Rd,0,0,0
morie_did_continuous_treatment.Rd,0,0,0
morie_did_diagnostics.Rd,0,0,0
morie_did_doubly_robust.Rd,0,0,0
morie_did_event_study.Rd,0,0,0
morie_did_fuzzy.Rd,0,0,0
morie_did_group_time_att.Rd,0,0,0
morie_did_heterogeneous.Rd,0,0,0
morie_did_panel_fe.Rd,0,0,0
morie_did_parallel_trends_data.Rd,0,0,0
morie_did_placebo_test_group.Rd,0,0,0
morie_did_placebo_test_outcome.Rd,0,0,0
morie_did_placebo_test_time.Rd,0,0,0
morie_did_repeated_cross_section.Rd,0,0,0
morie_did_sensitivity_analysis.Rd,0,0,0
morie_did_staggered.Rd,0,0,0
morie_did_synthetic.Rd,0,0,0
morie_did_test_parallel_trends.Rd,0,0,0
morie_did_triple_difference.Rd,0,0,0
morie_did_wild_cluster_bootstrap.Rd,0,0,0
morie_diffu_diffusion_forward.Rd,0,0,1
morie_diffu_heat_diffusion.Rd,0,0,1
morie_download_bootstrap.Rd,0,1,1
morie_drpfw_dropout_forward.Rd,0,0,1
morie_dsp_acf_from_psd.Rd,0,0,0
morie_dsp_alpha_trimmed_mean.Rd,0,0,0
morie_dsp_amplitude_histogram.Rd,0,0,0
morie_dsp_arc_length.Rd,0,0,0
morie_dsp_band_power.Rd,0,0,0
morie_dsp_baseline_correlation.Rd,0,0,0
morie_dsp_centroidal_time.Rd,0,0,0
morie_dsp_coherence.Rd,0,0,0
morie_dsp_coherence_spectrum.Rd,0,0,0
morie_dsp_comb.Rd,0,0,0
morie_dsp_complex_cepstrum.Rd,0,0,0
morie_dsp_complex_demodulation.Rd,0,0,0
morie_dsp_crest_factor.Rd,0,0,0
morie_dsp_cross_correlation.Rd,0,0,0
morie_dsp_csd.Rd,0,0,0
morie_dsp_cv.Rd,0,0,0
morie_dsp_derivative_detect.Rd,0,0,0
morie_dsp_dicrotic_notch.Rd,0,0,0
morie_dsp_ensemble_average.Rd,0,0,0
morie_dsp_entropy_histogram.Rd,0,0,0
morie_dsp_even_odd.Rd,0,0,0
morie_dsp_fbm_synthesis.Rd,0,0,0
morie_dsp_form_factor.Rd,0,0,0
morie_dsp_fractal_dim_psd.Rd,0,0,0
morie_dsp_hann_filter.Rd,0,0,0
morie_dsp_higuchi_fd.Rd,0,0,0
morie_dsp_hilbert_envelope.Rd,0,0,0
morie_dsp_hjorth.Rd,0,0,0
morie_dsp_hjorth_activity.Rd,0,0,0
morie_dsp_hjorth_complexity.Rd,0,0,0
morie_dsp_hjorth_mobility.Rd,0,0,0
morie_dsp_homomorphic.Rd,0,0,0
morie_dsp_hr_from_rr.Rd,0,0,0
