"file","n","hit","pct"
"R/rnnge.R",61,61,100
"R/rocau.R",28,28,100
"R/rotrp.R",24,24,100
"R/rptpn.R",14,14,100
"R/rslnk.R",9,9,100
"R/sarla.R",34,34,100
"R/sarre.R",40,40,100
"R/sglm.R",47,47,100
"R/sgnpw.R",42,42,100
"R/smixd.R",53,53,100
"R/sobls.R",31,31,100
"R/spcrs.R",36,36,100
"R/specf.R",27,27,100
"R/sptag.R",23,23,100
"R/ssmod.R",60,60,100
"R/strat.R",26,26,100
"R/sukht.R",30,30,100
"R/svmhg.R",23,23,100
"R/swigl.R",14,14,100
"R/tgrch.R",58,58,100
"R/thfdt.R",27,27,100
"R/tknbp.R",51,51,100
"R/tmpsc.R",7,7,100
"R/tolim.R",20,20,100
"R/topkd.R",13,13,100
"R/toppd.R",16,16,100
"R/tpspn.R",30,30,100
"R/trfbl.R",26,26,100
"R/trfge.R",56,56,100
"R/ucmod.R",21,21,100
"R/unfdl.R",54,54,100
"R/vaenc.R",29,29,100
"R/vdwrd.R",26,26,100
"R/vrgft.R",54,54,100
"R/vtpwr.R",55,55,100
"R/wdemb.R",14,14,100
"R/wnom.R",30,30,100
"R/wsrpw.R",31,31,100
"src/morie_core.h",197,197,100
"src/morie_dsp.cpp",158,158,100
"src/morie_fast.cpp",30,30,100
